titulo,site,url,descricao
"Políticos eleitos devem R$ 1,1 bilhão ao governo federal",Vortex Media,https://vortex.media/dados/25688/politicos-eleitos-devem-r-11-bilhao-ao-governo-federal/,"Mais de sete mil políticos eleitos estão inscritos na Dívida Ativa da União, o cadastro nacional de devedores. A análise foi feita a partir de dados da Procuradoria Geral da Fazenda Nacional (PGFN)."
"Em 2 anos, partidos gastam ao menos R$ 10 milhões com empresas de seus próprios dirigentes",Vortex Media,https://vortex.media/dados/21619/em-2-anos-partidos-gastam-ao-menos-r-10-milhoes-com-empresas-de-seus-proprios-dirigentes/,"As contas incluem gastos de 2017 e 2018. Embora as legendas sejam financiadas majoritariamente com dinheiro público, esse tipo de despesa não é ilegal. Ao menos 100 empresas, em 25 partidos, se enquadram nessa situação: seus sócios são ou foram parte da cúpula dos partidos que as contratam ou as contrataram."
Desmatamento em áreas protegidas da Amazônia atinge o maior nível em uma década,Vortex Media,https://vortex.media/dados/21040/desmatamento-em-areas-protegidas-da-amazonia-atinge-o-maior-nivel-em-uma-decada/,"Regiões protegidas da Floresta Amazônica, terras indígenas e unidades de conservação tiveram em 2019 o maior índice de desmatamento da última década. Foram 1.721 km² desflorestados dentro dessas áreas, 55% a mais do que em 2018, segundo análise do Vortex a partir dos dados de monitoramento por satélites produzidos pelo Inpe (Instituto Nacional de Pesquisas Espaciais)."
Interativo: mapas mostram desmatamento na Amazônia Legal,Vortex Media,https://vortex.media/dados/21108/interativo-mapas-mostram-desmatamento-na-amazonia-legal/,"Com o desmatamento em alta na Amazônia, inclusive em áreas protegidas, como terras indígenas e territórios destinados a conservação, é cada vez mais comum vermos esses dados representados na imprensa e em organizações de monitoramento."
Campanha no Twitter por impeachment de Gilmar Mendes tem marcas de ação coordenada,Vortex Media,https://vortex.media/dados/19632/campanha-no-twitter-por-impeachment-de-gilmar-mendes-tem-marcas-de-acao-coordenada/,"Análise com mais de 1 milhão de tuítes descobriu que apenas 1.770 perfis no Twitter tuitaram ou retuitaram mais de 100 vezes, em menos de três dias, as hashtags #ImpeachmentGilmarMendes ou #GilmarMendesImpeachment, ajudando a campanha a perseverar no topo dos assuntos mais comentados. A análise sobre impulsionamento coordenado de campanhas online é importante para descobrir se um movimento é real ou artificial, inflado pela ação de grupos nas redes sociais. Pedidos de impeachment de ministros do Supremo se tornaram mais comuns nos últimos anos."
"Ao abandonar PSL, Bolsonaro deixará partido que superou PT em Fundo Partidário",Vortex Media,https://vortex.media/dados/18788/ao-abandonar-psl-bolsonaro-deixara-partido-que-superou-pt-em-dinheiro/,"De um ano para o outro, o PSL multiplicou os recursos públicos que recebe do Fundo Partidário, o que lhe dá muito mais poder e influência. Ao deixar a sigla, Bolsonaro não terá problemas, mas a falta de dinheiro é um obstáculo para deputados o seguirem. "
"Com mobilização por WhatsApp, bolsonaristas querem criar novo partido",Vortex Media,https://vortex.media/dados/7005/o-percurso-partidario-de-jair-bolsonaro-do-pdc-ao-psl/,"Aliados do presidente Jair Bolsonaro pretendem reunir apoio para a criação de um novo partido sob medida para ele, a partir de correntes de WhatsApp, o instrumento de mobilização que ajudou a impulsionar sua eleição no ano passado. Pela lei, são necessárias 500 mil assinaturas para formar uma nova legenda."
"Próximas a Bolsonaro, Record e SBT recebem mais verba da Presidência do que Globo",Vortex Media,https://vortex.media/dados/16180/proximas-a-bolsonaro-record-e-sbt-recebem-mais-verba-do-governo-do-que-globo/,"Acompanhada por 15% do público da TV aberta, a Record superou a Globo, líder de audiência, e despontou como a principal empresa de mídia contratada pelo governo de Jair Bolsonaro (PSL) em 2019. A emissora recebeu R$ 7,9 milhões, o equivalente 35% da verba para publicidade televisiva empenhada pela Secretaria de Comunicação da Presidência da República (Secom) entre janeiro e outubro deste ano."
Gastos de partidos com voos particulares superaram R$10 milhões nos últimos dois anos,Vortex Media,https://vortex.media/dados/12482/gastos-de-partidos-com-voos-particulares-superou-r10-milhoes-nos-ultimos-dois-anos/,"Partidos políticos gastaram mais de R$ 10 milhões em voos particulares no biênio 2017/2018, totalizando 10,6% de todos os gastos das legendas com transporte no período."
"Vortex Data: No Twitter, comentários negativos dispararam após reação de Bolsonaro sobre caso Marielle",Vortex Media,https://vortex.media/dados/13321/vortex-data-no-twitter-comentarios-negativos-dispararam-apos-reacao-de-bolsonaro-sobre-caso-marielle/,"O Twitter é uma das principais plataformas de comunicação do presidente Jair Bolsonaro, segundo frequentemente utilizado por ele para falar com aliados, conectar-se com eleitores e passar mensagens a adversários. Analisar o sentimento nessa rede pode mostrar, principalmente, o tipo de reação despertada nas pessoas em relação ao presidente."
